"ID1","DataType","ExptNumber","MouseID","strainName","sex","Date","birthDate","ExptDoneBy","Age(days)","Age(wks)","Expr1011","BodyWeight","DrugBottleStartWeight","WaterBottleStartWeight","DrugBottleEndWeight","WaterBottleEndWeight","MeasureDays","d7","d8","d9","d10","d11","d12","d13","DrugDose","Drug","DoseUnits","d14","d15","d16","d17","d18","d19","d20","d21","d22","d23","d24","d25","mg/kg formula check","MouseIDDateMaster","MouseIDDateMDTStatic","MouseIDDateQC","coatColor","origin","Group","nickname","SucrosePreference","OralMethPreference","mgMeth_gMouse_day","d2-d4","d3-d5","d2-d4bias","DrugVolConsumed","WaterVolConsumed","DrugPreferenceScore","TestNumber","n_group_iqr","outlier_flag_DrugVolConsumed","outlier_flag_DrugPreferenceScore"
15138,"Sucrose","SUC0008","011663","C57BL/6J","M",2022-08-29,2022-05-31,"Marina",90,12.8571428571429,NA,32.0999984741211,86.0999984741211,84.5,79.3000030517578,77.9000015258789,3,NA,NA,NA,NA,NA,NA,"Day 1- Day 4","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212701.878661248,"011663_8/29/2022_Sucrose","011663_8/29/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,6.79999542236328,6.59999847412109,0.507462561130524,6.7999954223633,6.59999847412109,0.507462576094705,1,"eligible",FALSE,FALSE
15168,"Sucrose","SUC0008","011663","C57BL/6J","M",2022-09-05,2022-05-31,"Marina",97,13.8571428571429,NA,31.2000007629395,72.3000030517578,74,86.8000030517578,85.3000030517578,2,NA,NA,NA,NA,NA,NA,"Day 8- Day 10","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201142.322805788,"011663_9/5/2022_Sucrose","011663_9/5/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,-14.5,-11.3000030517578,0.562015414237976,-14.5,-11.3000030517578,0.562015437397868,2,"eligible",TRUE,FALSE
15137,"Sucrose","SUC0008","011664","C57BL/6J","M",2022-08-29,2022-05-31,"Marina",90,12.8571428571429,NA,28.3999996185303,84,84.5,73.6999969482422,81.0999984741211,3,NA,NA,NA,NA,NA,NA,"Day 1- Day 4","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217985.911543751,"011664_8/29/2022_Sucrose","011664_8/29/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,10.3000030517578,3.40000152587891,0.751824796199799,10.3000030517578,3.40000152587891,0.751824789064018,1,"eligible",FALSE,FALSE
15167,"Sucrose","SUC0008","011664","C57BL/6J","M",2022-09-05,2022-05-31,"Marina",97,13.8571428571429,NA,29.5,72,76.6999969482422,85.6999969482422,86.8000030517578,2,NA,NA,NA,NA,NA,NA,"Day 8- Day 10","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209166.098384534,"011664_9/5/2022_Sucrose","011664_9/5/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,-13.6999969482422,-10.1000061035156,0.575630068778992,-13.6999969482422,-10.1000061035156,0.575630050065492,2,"eligible",TRUE,FALSE
15139,"Sucrose","SUC0008","011665","C57BL/6J","M",2022-08-29,2022-05-31,"Marina",90,12.8571428571429,NA,29.6000003814697,84.4000015258789,90.9000015258789,77.1999969482422,87.6999969482422,3,NA,NA,NA,NA,NA,NA,"Day 1- Day 4","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220124.310930042,"011665_8/29/2022_Sucrose","011665_8/29/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,7.20000457763672,3.20000457763672,0.692307531833649,7.2000045776367,3.2000045776367,0.692307523016543,1,"eligible",FALSE,FALSE
15169,"Sucrose","SUC0008","011665","C57BL/6J","M",2022-09-05,2022-05-31,"Marina",97,13.8571428571429,NA,29.7000007629395,80.6999969482422,83.5999984741211,85.6999969482422,87.8000030517578,2,NA,NA,NA,NA,NA,NA,"Day 8- Day 10","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232861.585190344,"011665_9/5/2022_Sucrose","011665_9/5/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,-5,-4.20000457763672,0.543478012084961,-5,-4.2000045776367,0.543477990451652,2,"eligible",TRUE,FALSE
15140,"Sucrose","SUC0008","011666","C57BL/6J","M",2022-08-29,2022-05-31,"Marina",90,12.8571428571429,NA,27.2000007629395,79.9000015258789,81.4000015258789,74.4000015258789,72.6999969482422,3,NA,NA,NA,NA,NA,NA,"Day 1- Day 4","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218549.99602402,"011666_8/29/2022_Sucrose","011666_8/29/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,5.5,8.70000457763672,0.387323826551437,5.5,8.7000045776367,0.387323818800864,1,"eligible",FALSE,FALSE
15170,"Sucrose","SUC0008","011666","C57BL/6J","M",2022-09-05,2022-05-31,"Marina",97,13.8571428571429,NA,26.7000007629395,72.9000015258789,83,85,86.5999984741211,2,NA,NA,NA,NA,NA,NA,"Day 8- Day 10","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232078.645053859,"011666_9/5/2022_Sucrose","011666_9/5/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,-12.0999984741211,-3.59999847412109,0.770700693130493,-12.0999984741211,-3.59999847412109,0.770700689561334,2,"eligible",TRUE,FALSE
15143,"Sucrose","SUC0008","011667","C57BL/6J","M",2022-08-29,2022-05-31,"Marina",90,12.8571428571429,NA,26.1000003814697,87.6999969482422,84.6999969482422,79.8000030517578,81.5,3,NA,NA,NA,NA,NA,NA,"Day 1- Day 4","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268140.224469353,"011667_8/29/2022_Sucrose","011667_8/29/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,7.89999389648438,3.19999694824219,0.711711764335632,7.8999938964844,3.1999969482422,0.711711748864869,1,"eligible",FALSE,FALSE
15173,"Sucrose","SUC0008","011667","C57BL/6J","M",2022-09-05,2022-05-31,"Marina",97,13.8571428571429,NA,26.2000007629395,69.6999969482422,78,87.1999969482422,90.5,2,NA,NA,NA,NA,NA,NA,"Day 8- Day 10","0","Both Water Bottles","Percent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231978.594598593,"011667_9/5/2022_Sucrose","011667_9/5/2022_Sucrose","yes",NA,"AX27","to CLIMB","B6J",NA,NA,NA,-17.5,-12.5,0.583333313465118,-17.5,-12.5,0.583333333333333,2,"eligible",TRUE,FALSE
